,src_name,popularity,relevance_query,score_rank,score_mean
21,24s,0.044444444444444446,1.0,0.9838125292192614,0.8024139005765936
4222,mairie-larbresle,0.022222222222222223,1.0,0.9891304347826088,0.800096618357488
483,apollodisplays,0.022222222222222223,1.0,0.9891304347826088,0.800096618357488
1980,distec.de,0.044444444444444446,1.0,0.9629899216125419,0.7940848575339057
4571,na.theiia,0.022222222222222223,1.0,0.9680851063829786,0.7916784869976359
3119,hexadrone,0.022222222222222223,1.0,0.9578947368421052,0.7876023391812865
2915,goldofbengal,0.022222222222222223,1.0,0.9578947368421052,0.7876023391812865
2035,docs.ovh,0.022222222222222223,1.0,0.9479166666666666,0.783611111111111
2299,emploi.cf,0.022222222222222223,1.0,0.9381443298969072,0.7797021764032073
3409,instabot.io,0.022222222222222223,1.0,0.9285714285714286,0.7758730158730158
4245,maisonparfum,0.022222222222222223,1.0,0.9285714285714286,0.7758730158730158
2296,emploi.bi,0.022222222222222223,1.0,0.9285714285714286,0.7758730158730158
4009,lexicommon.coredem.info,0.022222222222222223,1.0,0.9191919191919192,0.7721212121212122
5999,subventions,0.022222222222222223,1.0,0.9191919191919192,0.7721212121212122
4543,mtonvin,0.022222222222222223,1.0,0.9099999999999999,0.7684444444444445
2867,gerpac,0.022222222222222223,1.0,0.9099999999999999,0.7684444444444445
1960,dilitrust,0.022222222222222223,1.0,0.9099999999999999,0.7684444444444445
4654,nextbigwhat,0.022222222222222223,1.0,0.9099999999999999,0.7684444444444445
5247,projedit,0.022222222222222223,1.0,0.9099999999999999,0.7684444444444445
2300,emploi.ci,0.022222222222222223,1.0,0.892156862745098,0.7613071895424837
3566,jamesanderson.co.uk,0.022222222222222223,1.0,0.892156862745098,0.7613071895424837
2761,frankgordon.au,0.022222222222222223,1.0,0.875,0.7544444444444445
5669,sdworx.lu,0.022222222222222223,1.0,0.875,0.7544444444444445
1349,chatbotslife,0.022222222222222223,1.0,0.875,0.7544444444444445
4104,lookfantastic,0.044444444444444446,1.0,0.863209219858156,0.7541725768321513
1455,cloudeco-faq,0.022222222222222223,1.0,0.8666666666666667,0.7511111111111111
2303,emploi.ga,0.022222222222222223,1.0,0.8666666666666667,0.7511111111111111
